area,bbox,category_id,id,image_id
0.011,"[0.14971650845367332, 0.8091716182788598, 0.32389129489191903, 0.03546633021651058]",1,165,68
0.022,"[0.8067482408446333, 0.6346983846028645, 0.134016790309874, 0.16264495849609384]",1,166,69
0.005,"[0.1824076410127261, 0.8235564834770115, 0.2085845890646742, 0.024047413091549896]",1,167,70
0.006,"[0.18056928248927412, 0.8545670783382723, 0.2675600069573284, 0.024193336223733874]",1,168,70
0.008,"[0.2313601576994434, 0.8818789953472971, 0.24819544294990725, 0.03141276041666663]",1,169,70
0.017,"[0.16426099141438802, 0.7702779265372984, 0.26805926005045577, 0.06214938256048386]",1,170,71
0.004,"[0.8909203936230248, 0.8921055333128015, 0.06938663939051926, 0.05396086772405284]",2,171,72
0.007,"[0.13285658860045146, 0.09712110056719023, 0.1637891506772009, 0.0400305410122164]",4,172,72
0.002,"[0.8281029556997742, 0.9017847404013961, 0.05269910411963885, 0.041561000218150124]",2,173,72
0.009,"[0.13298202376245627, 0.8053204353083434, 0.31978454315944455, 0.026615045887372513]",1,174,73
0.014,"[0.15368936397579802, 0.8305580421730324, 0.2984785202863962, 0.04851458514178242]",1,175,73
0.011,"[0.21673321780839797, 0.8698905662254051, 0.2939040882775209, 0.03734323007089124]",1,176,73
0.016,"[0.19627976735432942, 0.6463074124243952, 0.2063333511352539, 0.07633363785282254]",1,177,74
0.016,"[0.5436533610026042, 0.7952793441280241, 0.32882568359375, 0.04889081401209683]",1,178,74
0.018,"[0.17118204752604166, 0.802373283140121, 0.307996571858724, 0.05839134954637093]",1,179,74
0.016,"[0.1714291000366211, 0.7293312121975807, 0.28767454783121743, 0.05614383820564517]",1,180,74
0.006,"[0.6291334699876238, 0.8726790450928383, 0.10443815050294258, 0.054245893045731464]",2,181,74
0.007,"[0.7746912386551155, 0.8754327805715197, 0.1233272741336634, 0.053212054996807256]",2,182,74
0.012,"[0.17472471542176313, 0.7759331597222222, 0.2736860835182354, 0.04413587782118056]",1,183,75
0.007,"[0.16372068855813693, 0.8295308430989583, 0.24211604953665722, 0.027674018012152857]",1,184,75
0.008,"[0.22946502030038038, 0.8543981481481482, 0.30520957637231505, 0.02524594907407407]",1,185,75
0.013,"[0.48990203857421877, 0.6545033196983098, 0.15958628336588543, 0.08331460053066031]",1,186,76
0.011,"[0.1292487416889331, 0.7797619047619048, 0.3787982352575655, 0.029480820105819983]",1,187,77
0.014,"[0.16584434691798744, 0.8057316532841435, 0.37076667165071775, 0.03777963143807872]",1,188,77
0.01,"[0.20548930921052633, 0.8445578115957755, 0.2939158170417165, 0.03323692039207171]",1,189,77
0.039,"[0.7575821227233305, 0.5700085981973435, 0.1745378902862098, 0.22115897770398474]",1,190,78
0.021,"[0.12438681284586589, 0.8049524067907099, 0.3585321935017904, 0.05768224955530399]",1,191,79
0.005,"[0.2067426635515712, 0.8777079965876436, 0.22401878342778872, 0.024290062915319766]",1,192,79
0.007,"[0.15894596474953618, 0.8067959314105154, 0.2314085102258233, 0.03191226652298851]",1,193,80
0.007,"[0.15852324816645408, 0.8397390431371229, 0.24679186083169063, 0.030080685670348384]",1,194,80
0.006,"[0.2150321776437848, 0.8734416742434447, 0.24743935438166742, 0.02487428160919547]",1,195,80
0.014,"[0.1311843487394958, 0.8308841364812419, 0.24027048319327732, 0.05922542043984469]",1,196,81
0.015,"[0.11981015523274739, 0.7819267420614919, 0.29827662150065104, 0.04966718119959679]",1,197,82
0.019,"[0.08893173217773437, 0.856662125126008, 0.35604319254557293, 0.05440634450604842]",1,198,82
0.006,"[0.12288901011149088, 0.7290736044606855, 0.189953244527181, 0.02965458039314517]",1,199,82
0.002,"[0.6356922496448864, 0.4857484858916028, 0.08101846994447315, 0.025317585483516925]",3,200,82
0.002,"[0.7980024857954545, 0.4829695544480364, 0.09091746432722114, 0.02445818242137615]",3,201,82
0.012,"[0.0916015370686849, 0.8187724634544137, 0.2420601399739583, 0.05068592189513532]",1,202,83
0.009,"[0.1056139882405599, 0.7732621025793331, 0.21247520446777346, 0.041137380698292536]",1,203,83
0.013,"[0.10113197515818699, 0.8774983100355205, 0.2835812907573605, 0.04748433820741538]",1,204,83
0.022,"[0.23720133639308855, 0.0997304229480737, 0.2951791981641469, 0.07304752931323284]",1,205,84
0.008,"[0.5189064025878907, 0.42106405449640644, 0.16459045410156248, 0.05108006633676143]",1,206,85
0.009,"[0.5292904663085938, 0.6192103074496704, 0.13540720621744784, 0.06925493213697187]",1,207,86
0.019,"[0.12192151387532552, 0.8184313064713373, 0.3629076894124349, 0.05341910575679176]",1,208,87
0.009,"[0.14091185891098892, 0.8019138755980861, 0.2967745304529953, 0.028752432292767582]",1,209,88
0.008,"[0.16961098071153177, 0.8403909617456896, 0.33998807153365607, 0.022513729402388716]",1,210,88
0.013,"[0.15590277777777778, 0.42894158291457285, 0.26504340277777777, 0.05048680904522612]",1,211,89
0.024,"[0.5001649305555556, 0.2563010364321608, 0.32153645833333333, 0.07455899288107204]",1,212,89
0.01,"[0.1640774310346435, 0.7937117965133101, 0.3044937607212112, 0.033675808376736116]",1,213,90
0.01,"[0.16081117616348448, 0.8322609230324074, 0.2953773808080996, 0.03256338614004628]",1,214,90
0.008,"[0.14228736791879992, 0.8013574670862269, 0.28676345368963957, 0.02822310836226849]",1,215,91
0.009,"[0.19715061297040554, 0.8571242524421926, 0.26940776095514857, 0.031648183137706454]",1,216,91
0.006,"[0.14620343806070574, 0.8343439172815393, 0.25682695744710676, 0.022461276584201384]",1,217,91
0.013,"[0.11831230969986954, 0.7857142857142857, 0.3286443203178401, 0.0392694866846478]",1,218,92
0.011,"[0.16633714040120443, 0.8557234711048674, 0.2826270929972331, 0.04003827291195028]",1,219,92
0.008,"[0.13838217703349281, 0.824855324074074, 0.2647434946452602, 0.028944905598958348]",1,220,92
0.008,"[0.1551701646567718, 0.783087193280801, 0.24408876210285252, 0.03307965158045978]",1,221,93
0.01,"[0.15710517161410018, 0.8234779094827587, 0.3414623706371753, 0.028952675304193543]",1,222,93
0.008,"[0.19922599721706866, 0.8568120496026401, 0.30497501068964517, 0.026750674192932755]",1,223,93
0.014,"[0.44373821390086204, 0.36763897613065327, 0.190606478987069, 0.0749384945561139]",1,224,94
0.01,"[0.143860303174268, 0.7907574190107803, 0.2814329954954955, 0.03626374825418999]",1,225,95
0.011,"[0.1409816432643581, 0.8305819207729574, 0.3024657103392455, 0.03658563198324016]",1,226,95
0.012,"[0.5100255839029948, 0.6522609897978238, 0.18126627604166667, 0.06765743127472956]",1,227,96
0.031,"[0.45081441243489584, 0.6947211115615173, 0.3185574340820313, 0.09885499582350632]",1,228,97
0.024,"[0.02513603210449219, 0.6929887111831761, 0.35310549418131515, 0.06760207841981136]",1,229,97
0.017,"[0.56107666015625, 0.5350143336649961, 0.25887929280598954, 0.06633438974056605]",1,230,98
0.006,"[0.38958214766142385, 0.8840821559706258, 0.08568365842301323, 0.06501686222860792]",2,231,99
0.003,"[0.5419113462334437, 0.9225459969667944, 0.0782947666597682, 0.03678011254789271]",2,232,99
0.026,"[0.16038816094619665, 0.7737630208333334, 0.3015591934572125, 0.08689354205953659]",1,233,100
0.007,"[0.2072245468677528, 0.8592328477179867, 0.20804823838271105, 0.0333059902848869]",1,234,100
0.041,"[0.45711805555555557, 0.7860919179229481, 0.42048611111111106, 0.09705428182579567]",1,235,101
0.012,"[0.1271708833619211, 0.6053676827296248, 0.25964837049742706, 0.045364044307891316]",1,236,102
0.007,"[0.141501304605832, 0.7954960575810185, 0.261720248089482, 0.026307508680555536]",1,237,103
0.009,"[0.1439809844824686, 0.8238792136863425, 0.25595443214526015, 0.033537348994502336]",1,238,103
0.01,"[0.13212930887306104, 0.7928796075551232, 0.31626665551411426, 0.033005682831909855]",1,239,104
0.012,"[0.13190784348185297, 0.8260442799535291, 0.3201429830632537, 0.03801508059446834]",1,240,104
0.026,"[0.15594861160314738, 0.7492476851851851, 0.30198075833923776, 0.08584346064814818]",1,241,105
0.008,"[0.15455325178997614, 0.838312671802662, 0.24574261576577416, 0.03352141203703707]",1,242,105
0.006,"[0.15160940308296614, 0.7904806027467224, 0.197720954059891, 0.029549434267241326]",1,243,106
0.01,"[0.15105374536178107, 0.8188046860968929, 0.3024167430644133, 0.03329099457839446]",1,244,106
0.011,"[0.11726596640871144, 0.7956469165659009, 0.2874214860220019, 0.038316440270491525]",1,245,107
0.009,"[0.1465129988859263, 0.8311247649016203, 0.2458820206453237, 0.03574795193142366]",1,246,107
0.018,"[0.5938974056603774, 0.5956349045924968, 0.196873659948542, 0.09264836675291066]",1,247,108
0.005,"[0.1852823433972912, 0.9179244382635253, 0.09198204712189614, 0.052822998472949356]",2,248,109
0.003,"[0.3115653216704289, 0.9174642779232112, 0.06630484621896165, 0.05120732438917974]",2,249,109
0.01,"[0.13620828931833717, 0.7956349206349206, 0.28873943048438183, 0.03346076440558854]",1,250,110
0.007,"[0.16195430481833134, 0.8414741798683449, 0.23109852183948865, 0.031663343641493036]",1,251,110
0.006,"[0.16172408349881146, 0.8071681932471264, 0.30226936411105637, 0.019879220545977017]",1,252,111
0.007,"[0.16218547077922077, 0.8320013462812051, 0.2511209406525394, 0.02819306823028911]",1,253,111
0.026,"[0.1330872105488851, 0.5775287031047865, 0.24004341766723838, 0.10815713939197935]",1,254,112
0.01,"[0.15079636169276026, 0.7980945555479202, 0.28174687312491253, 0.03405219298715556]",1,255,113
0.007,"[0.15107758191167092, 0.8403607949443247, 0.27136134216648305, 0.026907032933728425]",1,256,113
0.029,"[0.5521949768066406, 0.6285124772749607, 0.2956986490885416, 0.09798545597484276]",1,257,114
0.008,"[0.14730906443552927, 0.7852362947091044, 0.21808136261261263, 0.036301937849162025]",1,258,115
0.011,"[0.15071790540540542, 0.8197705998767022, 0.3341286599099099, 0.03307406462770601]",1,259,115
0.006,"[0.1990357545045045, 0.8574037178934619, 0.23102708421311935, 0.027829303421787688]",1,260,115
0.007,"[0.1567431611491274, 0.808683494285301, 0.22924527917101728, 0.031034907588252336]",1,261,116
0.011,"[0.16770101105683174, 0.8397291395399306, 0.30119087018943913, 0.03738335503472223]",1,262,116
0.012,"[0.140885451141328, 0.7942028985507247, 0.2884613909172097, 0.04119205198426179]",1,263,117
0.007,"[0.1631430301940042, 0.8388085259331597, 0.2434779262999028, 0.03033108181423616]",1,264,117
0.01,"[0.1778346181705298, 0.8775031429597702, 0.10947524317052981, 0.09586650901979565]",2,265,118
0.002,"[0.6389289502276491, 0.8997345945083014, 0.05284593594784759, 0.03918098459450836]",2,266,118
0.011,"[0.1578733766233766, 0.7943774694683908, 0.30111224399205705, 0.03747795368063034]",1,267,119
0.011,"[0.1453598673578096, 0.8335616013099407, 0.3277047180289019, 0.03204880637684093]",1,268,119
0.008,"[0.1936625691203328, 0.8694923663961476, 0.3248250816217822, 0.02533450071839083]",1,269,119
0.021,"[0.4478983561197917, 0.319989982865301, 0.334012959798177, 0.061755483231832387]",1,270,120
0.021,"[0.44272501627604166, 0.24253034216212474, 0.3080760701497396, 0.06675247632925282]",1,271,120
0.017,"[0.44536305745442706, 0.17903085142921588, 0.2870074462890625, 0.05766805013020834]",1,272,120
0.013,"[0.11523236592610676, 0.8232592312794811, 0.17324704488118492, 0.07584297612028301]",1,273,121
0.011,"[0.5684513094364032, 0.6921979690117253, 0.1795245297517124, 0.06270951275364167]",1,274,122
0.003,"[0.4183037049054978, 0.8647926301335009, 0.046075261870867246, 0.05535888671875]",2,275,123
0.005,"[0.5477607676524989, 0.8662448459201388, 0.09152398519958094, 0.05115790628991068]",2,276,123
0.006,"[0.16075052179962895, 0.7973315359532148, 0.22732594902307512, 0.026814252480693246]",1,277,124
0.009,"[0.15936630333951762, 0.8347103075049389, 0.3697844949414425, 0.0256805419921875]",1,278,124
